"_id","id","artists","metascore","release_date","sort_no","summary","title","user_score","Unnamed: 0","track_id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"ObjectId(""67ffc98fcede12a7f9353508"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91415,"6WwoaXSpEJ75vG1t674Cmm","Fishing Music","Say It Ain't So",0,258825,false,0.635,0.551,3,-7.136,1,0.0354,0.00743,0.0000182,0.07,0.451,151.779,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353509"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91414,"7yI7YDsXGrwUX8sFTXXnVV","Los Clásicos del Pop 90s","Say It Ain't So",1,258825,false,0.635,0.551,3,-7.136,1,0.0354,0.00743,0.0000182,0.07,0.451,151.779,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350a"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91416,"3qmncUJvABe0QDRwMZhbPt","90's Music Grandi Successi","Say It Ain't So",2,258825,false,0.635,0.551,3,-7.136,1,0.0354,0.00743,0.0000182,0.07,0.451,151.779,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350b"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91429,"11oRhYmKwkh6iUTC521TSk","Top of the Rock","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350c"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91421,"65mksf4l4ShgosppsGHoVR","90's Music Grandi Successi","Buddy Holly",0,159226,false,0.555,0.921,8,-4.606,1,0.0369,0.00264,0.000205,0.117,0.775,121.141,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350d"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91423,"7cEZSmCRCiOU1nsCuAtx0F","Mirando las nubes","Island In The Sun",1,200053,false,0.654,0.794,4,-6.288,0,0.0284,0.00769,0.00134,0.165,0.678,114.62,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350e"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91420,"2q9STTSwMoEVLyvlNZyOdA","Rock Brandneu","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"rock"
"ObjectId(""67ffc98fcede12a7f935350f"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91426,"2Nmgl5ms85CE90Yu4lm8jL","Alternative Christmas 2022","O Holy Night",0,244306,false,0.173,0.609,3,-7.724,1,0.0482,0.359,0,0.1,0.0988,197.819,3,"rock"
"ObjectId(""67ffc98fcede12a7f9353510"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91440,"6dmvNj7zlRYKjlcHLtCwyU","This Is Why - This Is Rock","What Happens After You?",0,199592,false,0.646,0.607,7,-7.671,0,0.0335,0.0127,0.0000232,0.32,0.536,123.033,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353511"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91441,"6RYHGsmhxeZ5694zS1zDF6","Rock n Roll Christmas","We Wish You A Merry Christmas",0,84973,false,0.387,0.786,11,-4.127,1,0.0436,0.0195,0,0.123,0.462,149.806,3,"rock"
